Best: GB_d2_tw10_n3 = 56.1%
Test days: 57
  2026-01-19: wr=67% WIN
  2026-01-20: wr=100% WIN
  2026-01-21: wr=67% WIN
  2026-01-22: wr=67% WIN
  2026-01-23: wr=100% WIN
  2026-01-26: wr=67% WIN
  2026-01-27: wr=67% WIN
  2026-01-28: wr=0% LOSS
  2026-01-29: wr=0% LOSS
  2026-01-30: wr=67% WIN
  2026-02-02: wr=67% WIN
  2026-02-03: wr=100% WIN
  2026-02-04: wr=100% WIN
  2026-02-05: wr=0% LOSS
  2026-02-06: wr=0% LOSS
  2026-02-09: wr=67% WIN
  2026-02-10: wr=100% WIN
  2026-02-11: wr=33% LOSS
  2026-02-12: wr=33% LOSS
  2026-02-13: wr=67% WIN
  2026-02-16: wr=67% WIN
  2026-02-17: wr=67% WIN
  2026-02-18: wr=100% WIN
  2026-02-19: wr=100% WIN
  2026-02-20: wr=100% WIN
  2026-02-23: wr=100% WIN
  2026-02-24: wr=100% WIN
  2026-02-25: wr=67% WIN
  2026-02-26: wr=33% LOSS
  2026-02-27: wr=67% WIN
  2026-03-02: wr=0% LOSS
  2026-03-03: wr=0% LOSS
  2026-03-04: wr=67% WIN
  2026-03-05: wr=100% WIN
  2026-03-06: wr=67% WIN
  2026-03-09: wr=0% LOSS
  2026-03-10: wr=0% LOSS
  2026-03-11: wr=33% LOSS
  2026-03-12: wr=0% LOSS
  2026-03-13: wr=0% LOSS
  2026-03-16: wr=33% LOSS
  2026-03-17: wr=33% LOSS
  2026-03-18: wr=0% LOSS
  2026-03-19: wr=33% LOSS
  2026-03-20: wr=67% WIN
  2026-03-23: wr=0% LOSS
  2026-03-24: wr=33% LOSS
  2026-03-25: wr=0% LOSS
  2026-03-26: wr=67% WIN
  2026-03-27: wr=67% WIN
  2026-03-30: wr=0% LOSS
  2026-03-31: wr=0% LOSS
  2026-04-01: wr=33% LOSS
  2026-04-02: wr=67% WIN
  2026-04-03: wr=0% LOSS
  2026-04-06: wr=67% WIN
  2026-04-07: wr=67% WIN
