股票代码,股票名称,综合评分,技术面评分,基本面评分,筹码面评分,热门板块评分,权重配置
002252,上海莱士,8.35,8.5,8.1,9.0,5.0,基本
002779,中坚科技,8.35,8.5,8.1,9.0,5.0,基本
601878,浙商证券,8.35,8.5,8.1,9.0,5.0,基本
002736,国信证券,8.24,7.5,8.1,9.0,5.0,基本
600161,天坛生物,8.24,7.5,8.1,9.0,5.0,基本
600377,宁沪高速,8.24,7.5,8.1,9.0,5.0,基本
600559,老白干酒,8.24,7.5,8.1,9.0,5.0,基本
600597,光明乳业,8.24,7.5,8.1,9.0,5.0,基本
600864,哈投股份,8.24,7.5,8.1,9.0,5.0,基本
600928,西安银行,8.24,7.5,8.1,9.0,5.0,基本
601860,紫金银行,8.24,7.5,8.1,9.0,5.0,基本
000096,广聚能源,8.2,9.0,8.1,8.5,5.0,基本
002468,申通快递,8.2,7.0,8.1,9.0,5.0,基本
600056,中国医药,8.2,9.0,8.1,8.5,5.0,基本
600073,光明肉业,8.2,9.0,8.1,8.5,5.0,基本
601881,中国银河,8.2,7.0,8.1,9.0,5.0,基本
002027,分众传媒,8.14,8.5,8.1,8.5,5.0,基本
002973,侨银股份,8.14,8.5,8.1,8.5,5.0,基本
601901,方正证券,8.14,8.5,8.1,8.5,5.0,基本
000628,高新发展,8.1,8.0,8.1,8.5,5.0,基本
600208,衢州发展,8.1,8.0,8.1,8.5,5.0,基本
002140,东华科技,8.09,10.0,8.1,8.0,5.0,基本
600958,东方证券,8.07,9.0,8.1,8.2,5.0,基本
601995,中金公司,8.07,9.0,8.1,8.2,5.0,基本
603535,嘉诚国际,8.07,9.0,8.1,8.2,5.0,基本
002302,西部建设,8.04,7.5,8.1,8.5,5.0,基本
600223,福瑞达,8.04,7.5,8.1,8.5,5.0,基本
600727,鲁北化工,8.04,7.5,8.1,8.5,5.0,基本
600905,三峡能源,8.04,7.5,8.1,8.5,5.0,基本
600917,重庆燃气,8.04,7.5,8.1,8.5,5.0,基本
601990,南京证券,8.04,7.5,8.1,8.5,5.0,基本
603683,晶华新材,8.04,7.5,8.1,8.5,5.0,基本
600050,中国联通,8.03,8.5,8.1,8.2,5.0,基本
601236,红塔证券,8.03,8.5,8.1,8.2,5.0,基本
000799,酒鬼酒,8.0,9.0,8.1,8.0,5.0,基本
000869,张裕A,8.0,9.0,8.1,8.0,5.0,基本
002332,仙琚制药,8.0,7.0,8.1,8.5,5.0,基本
002733,雄韬股份,8.0,7.0,8.1,8.5,5.0,基本
002734,利民股份,8.0,7.0,8.1,8.5,5.0,基本
002826,易明医药,8.0,7.0,8.1,8.5,5.0,基本
002873,新天药业,8.0,9.0,8.1,8.0,5.0,基本
603053,成都燃气,8.0,7.0,8.1,8.5,5.0,基本
603566,普莱柯,8.0,7.0,8.1,8.5,5.0,基本
603633,徕木股份,8.0,9.0,8.1,8.0,5.0,基本
000828,东莞控股,7.96,7.5,8.1,8.3,5.0,基本
002088,鲁阳节能,7.96,9.5,8.1,7.8,5.0,基本
002396,星网锐捷,7.95,8.5,8.1,8.0,5.0,基本
002823,凯中精密,7.95,8.5,8.1,8.0,5.0,基本
002981,朝阳科技,7.95,8.5,8.1,8.0,5.0,基本
600535,天士力,7.95,8.5,8.1,8.0,5.0,基本
601006,大秦铁路,7.95,8.5,8.1,8.0,5.0,基本
601788,光大证券,7.95,8.5,8.1,8.0,5.0,基本
603063,禾望电气,7.95,7.75,8.1,8.2,5.0,基本
603093,南华期货,7.95,8.5,8.1,8.0,5.0,基本
603238,诺邦股份,7.95,8.5,8.1,8.0,5.0,基本
603565,中谷物流,7.95,8.5,8.1,8.0,5.0,基本
000997,新大陆,7.92,9.5,8.1,7.7,5.0,基本
002749,国光股份,7.92,7.0,8.1,8.3,5.0,基本
002948,青岛银行,7.92,7.5,8.1,8.2,5.0,基本
600520,三佳科技,7.92,7.0,8.1,8.3,5.0,基本
600605,汇通能源,7.92,7.5,8.1,8.2,5.0,基本
600848,上海临港,7.92,6.25,8.1,8.5,5.0,基本
603276,恒兴新材,7.92,9.0,8.1,7.8,5.0,基本
