股票代码,股票名称,综合评分,技术面评分,基本面评分,筹码面评分,热门板块评分,权重配置
002140,东华科技,9.61,10.0,8.1,8.0,5.0,技术
000768,中航西飞,9.46,10.0,8.1,6.5,5.0,技术
002221,东华能源,9.44,10.0,7.2,7.2,5.0,技术
600119,长江投资,9.31,10.0,5.4,7.7,5.0,技术
601218,吉鑫科技,9.29,10.0,5.4,7.5,5.0,技术
603507,振江股份,9.26,10.0,5.4,7.2,5.0,技术
002405,四维图新,9.21,10.0,5.4,6.7,5.0,技术
002088,鲁阳节能,9.19,9.5,8.1,7.8,5.0,技术
000997,新大陆,9.18,9.5,8.1,7.7,5.0,技术
002155,湖南黄金,9.13,9.5,8.1,7.2,5.0,技术
002125,湘潭电化,9.11,9.5,8.1,7.0,5.0,技术
002245,蔚蓝锂芯,9.11,9.5,8.1,7.0,5.0,技术
002600,领益智造,9.11,9.5,8.1,7.0,5.0,技术
600235,民丰特纸,9.06,9.5,8.1,6.5,5.0,技术
600817,宇通重工,9.04,9.5,8.1,6.3,5.0,技术
002390,信邦制药,9.02,9.5,7.2,7.0,5.0,技术
000758,中色股份,8.98,9.5,8.1,5.7,5.0,技术
603277,银都股份,8.96,9.5,5.4,8.2,5.0,技术
002778,中晟高科,8.94,9.5,5.4,8.0,5.0,技术
600173,卧龙新能,8.91,9.5,5.4,7.7,5.0,技术
600999,招商证券,8.87,9.5,5.4,7.3,5.0,技术
000096,广聚能源,8.86,9.0,8.1,8.5,5.0,技术
600056,中国医药,8.86,9.0,8.1,8.5,5.0,技术
600073,光明肉业,8.86,9.0,8.1,8.5,5.0,技术
603102,百合股份,8.86,9.5,5.4,7.2,5.0,技术
002708,光洋股份,8.84,9.5,5.4,7.0,5.0,技术
600958,东方证券,8.83,9.0,8.1,8.2,5.0,技术
601995,中金公司,8.83,9.0,8.1,8.2,5.0,技术
603535,嘉诚国际,8.83,9.0,8.1,8.2,5.0,技术
000799,酒鬼酒,8.81,9.0,8.1,8.0,5.0,技术
000869,张裕A,8.81,9.0,8.1,8.0,5.0,技术
002873,新天药业,8.81,9.0,8.1,8.0,5.0,技术
603633,徕木股份,8.81,9.0,8.1,8.0,5.0,技术
000885,城发环境,8.79,9.5,5.4,6.5,5.0,技术
600435,北方导航,8.79,9.5,5.4,6.5,5.0,技术
601069,西部黄金,8.79,9.5,5.4,6.5,5.0,技术
603276,恒兴新材,8.79,9.0,8.1,7.8,5.0,技术
603291,联合水务,8.79,9.0,8.1,7.8,5.0,技术
002674,兴业科技,8.78,9.0,8.1,7.7,5.0,技术
002786,银宝山新,8.78,9.0,8.1,7.7,5.0,技术
603178,圣龙股份,8.77,9.0,7.2,8.5,5.0,技术
002050,三花智控,8.76,9.0,8.1,7.5,5.0,技术
002698,博实股份,8.76,9.0,8.1,7.5,5.0,技术
002988,豪美新材,8.76,9.0,8.1,7.5,5.0,技术
600052,东望时代,8.76,9.0,8.1,7.5,5.0,技术
601965,中国汽研,8.76,9.0,8.1,7.5,5.0,技术
603083,剑桥科技,8.76,9.0,8.1,7.5,5.0,技术
603269,海鸥股份,8.76,9.0,8.1,7.5,5.0,技术
000970,中科三环,8.73,9.0,8.1,7.2,5.0,技术
002322,理工能科,8.73,9.0,8.1,7.2,5.0,技术
600160,巨化股份,8.73,9.0,8.1,7.2,5.0,技术
002295,精艺股份,8.72,9.0,7.2,8.0,5.0,技术
002453,华软科技,8.72,9.5,5.4,5.8,5.0,技术
000737,北方铜业,8.71,9.0,8.1,7.0,5.0,技术
002057,中钢天源,8.71,9.0,8.1,7.0,5.0,技术
002104,恒宝股份,8.71,9.0,8.1,7.0,5.0,技术
002598,山东章鼓,8.71,9.0,8.1,7.0,5.0,技术
002722,物产金轮,8.71,9.0,8.1,7.0,5.0,技术
002809,红墙股份,8.71,9.0,8.1,7.0,5.0,技术
002818,富森美,8.71,9.0,8.1,7.0,5.0,技术
600054,黄山旅游,8.71,9.0,8.1,7.0,5.0,技术
600862,中航高科,8.71,9.0,8.1,7.0,5.0,技术
603004,鼎龙科技,8.71,9.0,8.1,7.0,5.0,技术
603039,泛微网络,8.71,9.0,8.1,7.0,5.0,技术
603080,新疆火炬,8.71,9.0,8.1,7.0,5.0,技术
603158,腾龙股份,8.71,9.0,8.1,7.0,5.0,技术
603506,南都物业,8.71,9.0,8.1,7.0,5.0,技术
