股票代码,股票名称,综合评分,技术面评分,基本面评分,筹码面评分,热门板块评分,权重配置
002252,上海莱士,8.46,8.5,8.1,9.0,5.0,筹码
002779,中坚科技,8.46,8.5,8.1,9.0,5.0,筹码
601878,浙商证券,8.46,8.5,8.1,9.0,5.0,筹码
002736,国信证券,8.36,7.5,8.1,9.0,5.0,筹码
600161,天坛生物,8.36,7.5,8.1,9.0,5.0,筹码
600377,宁沪高速,8.36,7.5,8.1,9.0,5.0,筹码
600559,老白干酒,8.36,7.5,8.1,9.0,5.0,筹码
600597,光明乳业,8.36,7.5,8.1,9.0,5.0,筹码
600864,哈投股份,8.36,7.5,8.1,9.0,5.0,筹码
600928,西安银行,8.36,7.5,8.1,9.0,5.0,筹码
601860,紫金银行,8.36,7.5,8.1,9.0,5.0,筹码
002468,申通快递,8.31,7.0,8.1,9.0,5.0,筹码
601881,中国银河,8.31,7.0,8.1,9.0,5.0,筹码
002907,华森制药,8.27,7.5,7.2,9.0,5.0,筹码
603369,今世缘,8.24,9.0,5.4,9.0,5.0,筹码
000514,渝开发,8.19,8.5,5.4,9.0,5.0,筹码
600006,东风股份,8.19,8.5,5.4,9.0,5.0,筹码
000096,广聚能源,8.16,9.0,8.1,8.5,5.0,筹码
600056,中国医药,8.16,9.0,8.1,8.5,5.0,筹码
600073,光明肉业,8.16,9.0,8.1,8.5,5.0,筹码
002567,唐人神,8.14,8.0,5.4,9.0,5.0,筹码
603508,思维列控,8.14,8.0,5.4,9.0,5.0,筹码
002027,分众传媒,8.11,8.5,8.1,8.5,5.0,筹码
002973,侨银股份,8.11,8.5,8.1,8.5,5.0,筹码
601901,方正证券,8.11,8.5,8.1,8.5,5.0,筹码
000006,深振业A,8.09,7.5,5.4,9.0,5.0,筹码
600857,宁波中百,8.09,7.5,5.4,9.0,5.0,筹码
601633,长城汽车,8.09,7.5,5.4,9.0,5.0,筹码
603198,迎驾贡酒,8.09,7.5,5.4,9.0,5.0,筹码
603178,圣龙股份,8.07,9.0,7.2,8.5,5.0,筹码
000628,高新发展,8.06,8.0,8.1,8.5,5.0,筹码
600208,衢州发展,8.06,8.0,8.1,8.5,5.0,筹码
000813,德展健康,8.04,7.0,5.4,9.0,5.0,筹码
002304,洋河股份,8.04,7.0,5.4,9.0,5.0,筹码
600698,湖南天雁,8.04,7.0,5.4,9.0,5.0,筹码
002302,西部建设,8.01,7.5,8.1,8.5,5.0,筹码
600223,福瑞达,8.01,7.5,8.1,8.5,5.0,筹码
600727,鲁北化工,8.01,7.5,8.1,8.5,5.0,筹码
600905,三峡能源,8.01,7.5,8.1,8.5,5.0,筹码
600917,重庆燃气,8.01,7.5,8.1,8.5,5.0,筹码
601990,南京证券,8.01,7.5,8.1,8.5,5.0,筹码
