股票代码,股票名称,综合评分,技术面评分,基本面评分,筹码面评分,热门板块评分,权重配置
002140,东华科技,8.57,10.0,8.1,8.0,5.0,综合
002252,上海莱士,8.45,8.5,8.1,9.0,5.0,综合
002779,中坚科技,8.45,8.5,8.1,9.0,5.0,综合
601878,浙商证券,8.45,8.5,8.1,9.0,5.0,综合
000096,广聚能源,8.42,9.0,8.1,8.5,5.0,综合
600056,中国医药,8.42,9.0,8.1,8.5,5.0,综合
600073,光明肉业,8.42,9.0,8.1,8.5,5.0,综合
002088,鲁阳节能,8.32,9.5,8.1,7.8,5.0,综合
600958,东方证券,8.3,9.0,8.1,8.2,5.0,综合
601995,中金公司,8.3,9.0,8.1,8.2,5.0,综合
603535,嘉诚国际,8.3,9.0,8.1,8.2,5.0,综合
000997,新大陆,8.28,9.5,8.1,7.7,5.0,综合
002027,分众传媒,8.25,8.5,8.1,8.5,5.0,综合
002973,侨银股份,8.25,8.5,8.1,8.5,5.0,综合
601901,方正证券,8.25,8.5,8.1,8.5,5.0,综合
603178,圣龙股份,8.24,9.0,7.2,8.5,5.0,综合
000799,酒鬼酒,8.22,9.0,8.1,8.0,5.0,综合
000869,张裕A,8.22,9.0,8.1,8.0,5.0,综合
002873,新天药业,8.22,9.0,8.1,8.0,5.0,综合
603633,徕木股份,8.22,9.0,8.1,8.0,5.0,综合
603276,恒兴新材,8.14,9.0,8.1,7.8,5.0,综合
603291,联合水务,8.14,9.0,8.1,7.8,5.0,综合
600050,中国联通,8.12,8.5,8.1,8.2,5.0,综合
601236,红塔证券,8.12,8.5,8.1,8.2,5.0,综合
002674,兴业科技,8.1,9.0,8.1,7.7,5.0,综合
002736,国信证券,8.1,7.5,8.1,9.0,5.0,综合
002786,银宝山新,8.1,9.0,8.1,7.7,5.0,综合
600161,天坛生物,8.1,7.5,8.1,9.0,5.0,综合
600377,宁沪高速,8.1,7.5,8.1,9.0,5.0,综合
600559,老白干酒,8.1,7.5,8.1,9.0,5.0,综合
600597,光明乳业,8.1,7.5,8.1,9.0,5.0,综合
600864,哈投股份,8.1,7.5,8.1,9.0,5.0,综合
600928,西安银行,8.1,7.5,8.1,9.0,5.0,综合
601860,紫金银行,8.1,7.5,8.1,9.0,5.0,综合
002155,湖南黄金,8.08,9.5,8.1,7.2,5.0,综合
603369,今世缘,8.08,9.0,5.4,9.0,5.0,综合
000628,高新发展,8.07,8.0,8.1,8.5,5.0,综合
002221,东华能源,8.07,10.0,7.2,7.2,5.0,综合
600208,衢州发展,8.07,8.0,8.1,8.5,5.0,综合
002295,精艺股份,8.04,9.0,7.2,8.0,5.0,综合
002396,星网锐捷,8.04,8.5,8.1,8.0,5.0,综合
002823,凯中精密,8.04,8.5,8.1,8.0,5.0,综合
002981,朝阳科技,8.04,8.5,8.1,8.0,5.0,综合
600535,天士力,8.04,8.5,8.1,8.0,5.0,综合
601006,大秦铁路,8.04,8.5,8.1,8.0,5.0,综合
601788,光大证券,8.04,8.5,8.1,8.0,5.0,综合
603093,南华期货,8.04,8.5,8.1,8.0,5.0,综合
603238,诺邦股份,8.04,8.5,8.1,8.0,5.0,综合
603565,中谷物流,8.04,8.5,8.1,8.0,5.0,综合
002050,三花智控,8.02,9.0,8.1,7.5,5.0,综合
002698,博实股份,8.02,9.0,8.1,7.5,5.0,综合
002988,豪美新材,8.02,9.0,8.1,7.5,5.0,综合
600052,东望时代,8.02,9.0,8.1,7.5,5.0,综合
601965,中国汽研,8.02,9.0,8.1,7.5,5.0,综合
603083,剑桥科技,8.02,9.0,8.1,7.5,5.0,综合
603269,海鸥股份,8.02,9.0,8.1,7.5,5.0,综合
002125,湘潭电化,8.0,9.5,8.1,7.0,5.0,综合
002245,蔚蓝锂芯,8.0,9.5,8.1,7.0,5.0,综合
002600,领益智造,8.0,9.5,8.1,7.0,5.0,综合
000768,中航西飞,7.97,10.0,8.1,6.5,5.0,综合
601456,国联民生,7.95,8.5,7.2,8.2,5.0,综合
603277,银都股份,7.93,9.5,5.4,8.2,5.0,综合
000617,中油资本,7.92,8.5,8.1,7.7,5.0,综合
000676,智度股份,7.92,8.5,8.1,7.7,5.0,综合
000910,大亚圣象,7.92,8.5,8.1,7.7,5.0,综合
002468,申通快递,7.92,7.0,8.1,9.0,5.0,综合
002907,华森制药,7.92,7.5,7.2,9.0,5.0,综合
601618,中国中冶,7.92,8.5,8.1,7.7,5.0,综合
601881,中国银河,7.92,7.0,8.1,9.0,5.0,综合
600119,长江投资,7.91,10.0,5.4,7.7,5.0,综合
000514,渝开发,7.9,8.5,5.4,9.0,5.0,综合
000970,中科三环,7.9,9.0,8.1,7.2,5.0,综合
002302,西部建设,7.9,7.5,8.1,8.5,5.0,综合
002322,理工能科,7.9,9.0,8.1,7.2,5.0,综合
600006,东风股份,7.9,8.5,5.4,9.0,5.0,综合
600160,巨化股份,7.9,9.0,8.1,7.2,5.0,综合
600223,福瑞达,7.9,7.5,8.1,8.5,5.0,综合
600727,鲁北化工,7.9,7.5,8.1,8.5,5.0,综合
600905,三峡能源,7.9,7.5,8.1,8.5,5.0,综合
600917,重庆燃气,7.9,7.5,8.1,8.5,5.0,综合
601990,南京证券,7.9,7.5,8.1,8.5,5.0,综合
603683,晶华新材,7.9,7.5,8.1,8.5,5.0,综合
002564,天沃科技,7.88,9.0,5.4,8.5,5.0,综合
603032,德新科技,7.88,9.0,5.4,8.5,5.0,综合
603195,公牛集团,7.88,9.0,5.4,8.5,5.0,综合
000045,深纺织A,7.87,8.0,8.1,8.0,5.0,综合
000404,长虹华意,7.87,8.0,8.1,8.0,5.0,综合
002065,东华软件,7.87,8.5,7.2,8.0,5.0,综合
603659,璞泰来,7.87,8.0,8.1,8.0,5.0,综合
603790,雅运股份,7.87,8.0,8.1,8.0,5.0,综合
603063,禾望电气,7.86,7.75,8.1,8.2,5.0,综合
002778,中晟高科,7.85,9.5,5.4,8.0,5.0,综合
002120,韵达股份,7.84,8.5,8.1,7.5,5.0,综合
002267,陕天然气,7.84,8.5,8.1,7.5,5.0,综合
002274,华昌化工,7.84,8.5,8.1,7.5,5.0,综合
002351,漫步者,7.84,8.5,8.1,7.5,5.0,综合
600061,国投资本,7.84,8.5,8.1,7.5,5.0,综合
600648,外高桥,7.84,8.5,8.1,7.5,5.0,综合
601619,嘉泽新能,7.84,8.5,8.1,7.5,5.0,综合
603070,万控智造,7.84,8.5,8.1,7.5,5.0,综合
603712,七一二,7.84,9.0,7.2,7.5,5.0,综合
601218,吉鑫科技,7.83,10.0,5.4,7.5,5.0,综合
000737,北方铜业,7.82,9.0,8.1,7.0,5.0,综合
000828,东莞控股,7.82,7.5,8.1,8.3,5.0,综合
002057,中钢天源,7.82,9.0,8.1,7.0,5.0,综合
002104,恒宝股份,7.82,9.0,8.1,7.0,5.0,综合
002598,山东章鼓,7.82,9.0,8.1,7.0,5.0,综合
002722,物产金轮,7.82,9.0,8.1,7.0,5.0,综合
002809,红墙股份,7.82,9.0,8.1,7.0,5.0,综合
002818,富森美,7.82,9.0,8.1,7.0,5.0,综合
600054,黄山旅游,7.82,9.0,8.1,7.0,5.0,综合
600862,中航高科,7.82,9.0,8.1,7.0,5.0,综合
603004,鼎龙科技,7.82,9.0,8.1,7.0,5.0,综合
603039,泛微网络,7.82,9.0,8.1,7.0,5.0,综合
603080,新疆火炬,7.82,9.0,8.1,7.0,5.0,综合
603158,腾龙股份,7.82,9.0,8.1,7.0,5.0,综合
603506,南都物业,7.82,9.0,8.1,7.0,5.0,综合
002390,信邦制药,7.81,9.5,7.2,7.0,5.0,综合
600640,国脉文化,7.8,9.0,5.4,8.3,5.0,综合
002721,金一文化,7.79,8.0,8.1,7.8,5.0,综合
600235,民丰特纸,7.79,9.5,8.1,6.5,5.0,综合
600420,国药现代,7.79,8.0,8.1,7.8,5.0,综合
603220,中贝通信,7.79,8.0,8.1,7.8,5.0,综合
002948,青岛银行,7.78,7.5,8.1,8.2,5.0,综合
600605,汇通能源,7.78,7.5,8.1,8.2,5.0,综合
000538,云南白药,7.76,9.0,5.4,8.2,5.0,综合
000779,甘咨询,7.76,8.5,8.1,7.3,5.0,综合
601838,成都银行,7.76,9.0,5.4,8.2,5.0,综合
000011,深物业A,7.75,8.0,8.1,7.7,5.0,综合
002045,国光电器,7.75,8.0,8.1,7.7,5.0,综合
002660,茂硕电源,7.75,8.0,8.1,7.7,5.0,综合
600925,苏能股份,7.75,8.0,8.1,7.7,5.0,综合
601928,凤凰传媒,7.75,8.0,8.1,7.7,5.0,综合
603113,金能科技,7.75,8.5,7.2,7.7,5.0,综合
603206,嘉环科技,7.75,8.0,8.1,7.7,5.0,综合
000948,南天信息,7.74,9.0,8.1,6.8,5.0,综合
002882,金龙羽,7.74,9.0,8.1,6.8,5.0,综合
002987,京北方,7.74,9.0,8.1,6.8,5.0,综合
002567,唐人神,7.73,8.0,5.4,9.0,5.0,综合
600173,卧龙新能,7.73,9.5,5.4,7.7,5.0,综合
603508,思维列控,7.73,8.0,5.4,9.0,5.0,综合
000032,深桑达A,7.72,8.5,8.1,7.2,5.0,综合
002060,广东建工,7.72,8.5,8.1,7.2,5.0,综合
002126,银轮股份,7.72,8.5,8.1,7.2,5.0,综合
002273,水晶光电,7.72,8.5,8.1,7.2,5.0,综合
002332,仙琚制药,7.72,7.0,8.1,8.5,5.0,综合
002577,雷柏科技,7.72,9.0,7.2,7.2,5.0,综合
002733,雄韬股份,7.72,7.0,8.1,8.5,5.0,综合
002734,利民股份,7.72,7.0,8.1,8.5,5.0,综合
002757,南兴股份,7.72,8.5,8.1,7.2,5.0,综合
002801,微光股份,7.72,8.5,8.1,7.2,5.0,综合
002826,易明医药,7.72,7.0,8.1,8.5,5.0,综合
002960,青鸟消防,7.72,8.5,8.1,7.2,5.0,综合
600031,三一重工,7.72,8.5,8.1,7.2,5.0,综合
600055,万东医疗,7.72,8.5,8.1,7.2,5.0,综合
600261,阳光照明,7.72,8.5,8.1,7.2,5.0,综合
600398,海澜之家,7.72,8.5,8.1,7.2,5.0,综合
600580,卧龙电驱,7.72,8.5,8.1,7.2,5.0,综合
600699,均胜电子,7.72,8.5,8.1,7.2,5.0,综合
600739,辽宁成大,7.72,8.5,8.1,7.2,5.0,综合
