src,dst,BSETransferDate,EffDate,TruncDate
833819,920819,20200727,20250506,20250501
830799,920799,20200727,20250506,20250501
831445,920445,20200727,20250506,20250501
430489,920489,20200727,20250506,20250501
839167,920167,20200727,20250506,20250501
834682,920682,20200727,20250506,20250501
872931,920931,20240408,20251009,20251001
837023,920123,20240329,20251009,20251001
835438,920438,20240325,20251009,20251001
873706,920706,20240308,20251009,20251001
870656,920656,20240202,20251009,20251001
831396,920496,20240126,20251009,20251001
837403,920403,20240118,20251009,20251001
873806,920806,20240111,20251009,20251001
873690,920690,20240105,20251009,20251001
871263,920363,20231228,20251009,20251001
836961,920061,20231221,20251009,20251001
833284,920284,20231219,20251009,20251001
831175,920375,20231214,20251009,20251001
836547,920547,20231212,20251009,20251001
873703,920703,20231205,20251009,20251001
835579,920579,20231130,20251009,20251001
873570,920570,20231123,20251009,20251001
832522,920522,20231116,20251009,20251001
873132,920132,20231116,20251009,20251001
873679,920679,20231110,20251009,20251001
873833,920833,20231108,20251009,20251001
833030,920130,20231102,20251009,20251001
839493,920493,20231101,20251009,20251001
873693,920693,20231027,20251009,20251001
873726,920026,20231019,20251009,20251001
832786,920786,20231013,20251009,20251001
832978,920978,20230928,20251009,20251001
873665,920665,20230926,20251009,20251001
832469,920469,20230918,20251009,20251001
836419,920519,20230915,20251009,20251001
831627,920627,20230907,20251009,20251001
870976,920976,20230901,20251009,20251001
872953,920953,20230823,20251009,20251001
837174,920274,20230818,20251009,20251001
836504,920504,20230817,20251009,20251001
837748,920748,20230816,20251009,20251001
834058,920058,20230810,20251009,20251001
870726,920926,20230808,20251009,20251001
832982,920982,20230720,20251009,20251001
838701,920701,20230719,20251009,20251001
833751,920751,20230717,20251009,20251001
873576,920576,20230712,20251009,20251001
837592,920592,20230710,20251009,20251001
836717,920717,20230703,20251009,20251001
832175,920175,20230630,20251009,20251001
836208,920208,20230629,20251009,20251001
832651,920651,20230627,20251009,20251001
833455,920455,20230621,20251009,20251001
836221,920221,20230608,20251009,20251001
830779,920779,20230601,20251009,20251001
430017,920017,20230531,20251009,20251001
839719,920719,20230526,20251009,20251001
832471,920471,20230525,20251009,20251001
837006,920006,20230518,20251009,20251001
838837,920837,20230515,20251009,20251001
871478,920578,20230512,20251009,20251001
836699,920699,20230509,20251009,20251001
833394,920394,20230425,20251009,20251001
871694,920694,20230424,20251009,20251001
830896,920896,20230419,20251009,20251001
831304,920304,20230418,20251009,20251001
873593,920593,20230413,20251009,20251001
872895,920895,20230406,20251009,20251001
834261,920261,20230403,20251009,20251001
839792,920792,20230330,20251009,20251001
830809,920809,20230323,20251009,20251001
430556,920556,20230317,20251009,20251001
837663,920663,20230315,20251009,20251001
833575,920575,20230315,20251009,20251001
835857,920057,20230314,20251009,20251001
872541,920541,20230310,20251009,20251001
830974,920974,20230308,20251009,20251001
836422,920422,20230301,20251009,20251001
834770,920770,20230228,20251009,20251001
430478,920478,20230223,20251009,20251001
831906,920906,20230222,20251009,20251001
839273,920273,20230221,20251009,20251001
832149,920249,20230217,20251009,20251001
834407,920407,20230216,20251009,20251001
873167,920367,20230209,20251009,20251001
832802,920802,20230206,20251009,20251001
832023,920023,20230202,20251009,20251001
430425,920425,20230130,20251009,20251001
873152,920252,20230119,20251009,20251001
839371,920371,20230118,20251009,20251001
834950,920950,20230111,20251009,20251001
872392,920392,20221230,20251009,20251001
838262,920262,20221230,20251009,20251001
831195,920195,20221230,20251009,20251001
831855,920855,20221229,20251009,20251001
872351,920351,20221229,20251009,20251001
